category_id,category_name,parent_category,source_category
28426,Miếng dán màn hình thiết bị đeo thông minh,Phụ Kiện Thiết Bị Đeo Thông Minh,thietbiso_phukienso
28428,"Dây Đeo Thay Thế, Phụ Trợ - Phụ Kiện Khác",Phụ Kiện Thiết Bị Đeo Thông Minh,thietbiso_phukienso
28430,Adapter Sạc - Cáp Sạc Cho Thiết Bị Đeo,Phụ Kiện Thiết Bị Đeo Thông Minh,thietbiso_phukienso
67155,Sạc đồng hồ thông minh,Adapter Sạc - Cáp Sạc Cho Thiết Bị Đeo,thietbiso_phukienso
67156,Cáp đồng hồ thông minh,Adapter Sạc - Cáp Sạc Cho Thiết Bị Đeo,thietbiso_phukienso
28432,Thiết Bị Thông Minh và Linh Kiện Điện Tử,Thiết bị số - Phụ kiện số,thietbiso_phukienso
28436,Thiết Bị Số - Thiết Bị Thông Minh,Thiết Bị Thông Minh và Linh Kiện Điện Tử,thietbiso_phukienso
8044,Máy Bộ Đàm,Thiết Bị Số - Thiết Bị Thông Minh,thietbiso_phukienso
12864,Thiết Bị Nhà Thông Minh,Thiết Bị Số - Thiết Bị Thông Minh,thietbiso_phukienso
28444,Thiết Bị Định Vị GPS,Thiết Bị Số - Thiết Bị Thông Minh,thietbiso_phukienso
28446,Kim Từ Điển và Các Loại Máy Thông Dịch,Thiết Bị Số - Thiết Bị Thông Minh,thietbiso_phukienso
10413,Đồ Chơi Công Nghệ - Thiết Bị Số và Phụ Kiện Số Khác,Thiết Bị Số - Thiết Bị Thông Minh,thietbiso_phukienso
20246,Mạch Điện Lập Trình và Linh Kiện Điện Tử,Thiết Bị Thông Minh và Linh Kiện Điện Tử,thietbiso_phukienso
20250,Các Module Tích Hợp,Mạch Điện Lập Trình và Linh Kiện Điện Tử,thietbiso_phukienso
20252,Cảm Biến,Mạch Điện Lập Trình và Linh Kiện Điện Tử,thietbiso_phukienso
20254,Linh Kiện và Các Phần Cứng Khác,Mạch Điện Lập Trình và Linh Kiện Điện Tử,thietbiso_phukienso
67165,Các loại mạch khác,Linh Kiện và Các Phần Cứng Khác,thietbiso_phukienso
20256,Thiết Bị Robot,Mạch Điện Lập Trình và Linh Kiện Điện Tử,thietbiso_phukienso
20258,Phụ Kiện và Dụng Cụ Khác,Mạch Điện Lập Trình và Linh Kiện Điện Tử,thietbiso_phukienso
28434,"Dây, Cáp Nối và Adapter Nguồn",Mạch Điện Lập Trình và Linh Kiện Điện Tử,thietbiso_phukienso
8214,Phụ Kiện Điện Thoại và Máy Tính Bảng,Thiết bị số - Phụ kiện số,thietbiso_phukienso
28448,Thẻ Nhớ và Bộ Nhớ Mở Rộng,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
1820,Thẻ Nhớ Điện Thoại,Thẻ Nhớ và Bộ Nhớ Mở Rộng,thietbiso_phukienso
2173,USB OTG,Thẻ Nhớ và Bộ Nhớ Mở Rộng,thietbiso_phukienso
10691,SIM Điện Thoại,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
28450,SIM số,SIM Điện Thoại,thietbiso_phukienso
28452,SIM Data - SIM 3G / 4G,SIM Điện Thoại,thietbiso_phukienso
1821,Pin Sạc Dự Phòng,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
28454,Pin Sạc Dự Phòng Di Động,Pin Sạc Dự Phòng,thietbiso_phukienso
1823,Dây Sạc - Dây Cáp,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
5006,"Dây Cáp Sạc iPhone, iPad",Dây Sạc - Dây Cáp,thietbiso_phukienso
5007,Dây Cáp Sạc Micro USB,Dây Sạc - Dây Cáp,thietbiso_phukienso
12294,Dây Cáp Sạc USB Type-C,Dây Sạc - Dây Cáp,thietbiso_phukienso
28458,Dây Cáp Sạc Đa Năng,Dây Sạc - Dây Cáp,thietbiso_phukienso
3805,Các Loại Cáp Khác,Dây Sạc - Dây Cáp,thietbiso_phukienso
3803,Adapter - Củ Sạc,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
12908,Adapter Sạc - Củ Sạc Thường,Adapter - Củ Sạc,thietbiso_phukienso
12918,Adapter Sạc - Củ Sạc Xe Hơi,Adapter - Củ Sạc,thietbiso_phukienso
12928,Đế Sạc Không Dây,Adapter - Củ Sạc,thietbiso_phukienso
28460,Bộ Adapter Sạc Kèm Cáp Sạc,Adapter - Củ Sạc,thietbiso_phukienso
20234,Linh Kiện Thay Thế,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
28464,Pin Thay Thế,Linh Kiện Thay Thế,thietbiso_phukienso
28466,Vỏ - Case Thay Thế,Linh Kiện Thay Thế,thietbiso_phukienso
28468,Linh Kiện Thay Thế Khác,Linh Kiện Thay Thế,thietbiso_phukienso
20242,Dụng Cụ Sửa Chữa và Vệ Sinh,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
28470,Dụng cụ vệ sinh điện thoại và máy tính bảng,Dụng Cụ Sửa Chữa và Vệ Sinh,thietbiso_phukienso
28472,Dụng cụ sửa chữa điện thoại và máy tính bảng,Dụng Cụ Sửa Chữa và Vệ Sinh,thietbiso_phukienso
20220,Giá Đỡ - Chân Đế - Móc Dán,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
28478,Móc Dán Đỡ Điện Thoại,Giá Đỡ - Chân Đế - Móc Dán,thietbiso_phukienso
28480,Giá Đỡ - Chân Đế Thường,Giá Đỡ - Chân Đế - Móc Dán,thietbiso_phukienso
28482,"Giá Đỡ - Chân Đế Gắn Ô Tô, Xe Máy",Giá Đỡ - Chân Đế - Móc Dán,thietbiso_phukienso
20236,Túi Bảo Vệ - Túi Chống Nước,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
20244,Hộp Đựng - Túi Đựng Phụ Kiện,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
20240,Vòng Đeo - Đai Đeo,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
20222,Dây Đeo và Phụ Kiện Trang Trí,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
1824,Miếng dán màn hình,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
28484,Miếng Dán Màn Hình Điện Thoại,Miếng dán màn hình,thietbiso_phukienso
28486,Miếng Dán Thiết Bị Di Động Khác,Miếng dán màn hình,thietbiso_phukienso
1822,Bao Da - Ốp Lưng,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
28574,Bao Da - Ốp Lưng Điện Thoại iPhone,Bao Da - Ốp Lưng,thietbiso_phukienso
28576,Bao Da - Ốp Lưng Điện Thoại Samsung,Bao Da - Ốp Lưng,thietbiso_phukienso
28578,Bao Da - Ốp Lưng Điện Thoại Xiaomi,Bao Da - Ốp Lưng,thietbiso_phukienso
28580,Bao Da - Ốp Lưng Điện Thoại Oppo,Bao Da - Ốp Lưng,thietbiso_phukienso
28582,Bao Da - Ốp Lưng Điện Thoại Asus,Bao Da - Ốp Lưng,thietbiso_phukienso
28584,Bao Da - Ốp Lưng Điện Thoại Huawei,Bao Da - Ốp Lưng,thietbiso_phukienso
28586,Bao Da - Ốp Lưng Điện Thoại Nokia,Bao Da - Ốp Lưng,thietbiso_phukienso
28588,Bao Da - Ốp Lưng Điện Thoại Vivo,Bao Da - Ốp Lưng,thietbiso_phukienso
28590,Bao Da - Ốp Lưng Điện Thoại Honor,Bao Da - Ốp Lưng,thietbiso_phukienso
28592,Bao Da - Ốp Lưng Điện Thoại Sony,Bao Da - Ốp Lưng,thietbiso_phukienso
28594,Bao Da - Ốp Lưng Điện Thoại Khác,Bao Da - Ốp Lưng,thietbiso_phukienso
28596,Bao Da - Ốp Lưng iPad,Bao Da - Ốp Lưng,thietbiso_phukienso
28598,Bao Da - Ốp Lưng Máy Tính Bảng Khác,Bao Da - Ốp Lưng,thietbiso_phukienso
20238,Bàn Phím Rời - Bút Cảm Ứng,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
28616,Bút Cảm Ứng,Bàn Phím Rời - Bút Cảm Ứng,thietbiso_phukienso
28618,Bàn Phím Rời - Ốp Tích Hợp Bàn Phím,Bàn Phím Rời - Bút Cảm Ứng,thietbiso_phukienso
28620,Phụ Kiện Chụp Hình,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
2659,Gậy Tự Sướng - Selfie,Phụ Kiện Chụp Hình,thietbiso_phukienso
20212,Lens Cho Điện Thoại,Phụ Kiện Chụp Hình,thietbiso_phukienso
28622,Đèn Flash Selfie - Flash Mini,Phụ Kiện Chụp Hình,thietbiso_phukienso
28624,Phụ Kiện Chơi Game,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
28628,Tay Cầm Chơi Game Điện Thoại,Phụ Kiện Chơi Game,thietbiso_phukienso
28630,Phụ Kiện Chơi Game Điện Thoại Khác,Phụ Kiện Chơi Game,thietbiso_phukienso
1819,Phụ Kiện Di Động Khác,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
69243,Miếng dán màn hình điện thoại và máy tính bảng,Phụ Kiện Điện Thoại và Máy Tính Bảng,thietbiso_phukienso
28670,Phụ kiện máy tính và Laptop,Thiết bị số - Phụ kiện số,thietbiso_phukienso
28672,Dụng Cụ Vệ Sinh và Sửa Chữa,Phụ kiện máy tính và Laptop,thietbiso_phukienso
28674,Dụng cụ vệ sinh máy tính và laptop,Dụng Cụ Vệ Sinh và Sửa Chữa,thietbiso_phukienso
28676,Dụng cụ sửa chữa máy tính và laptop,Dụng Cụ Vệ Sinh và Sửa Chữa,thietbiso_phukienso
7795,Phụ Kiện Laptop,Phụ kiện máy tính và Laptop,thietbiso_phukienso
28678,Dây Chống Trộm Laptop,Phụ Kiện Laptop,thietbiso_phukienso
28680,Skin và Decal Dán Laptop,Phụ Kiện Laptop,thietbiso_phukienso
1832,Đế Tản Nhiệt Laptop,Phụ Kiện Laptop,thietbiso_phukienso
28682,Giá Đỡ Laptop,Phụ Kiện Laptop,thietbiso_phukienso
28684,Case - Vỏ Ốp Lưng Laptop,Phụ Kiện Laptop,thietbiso_phukienso
28686,Miếng Phủ Bàn Phím Laptop,Phụ Kiện Laptop,thietbiso_phukienso
4880,Webcam Máy Tính,Phụ kiện máy tính và Laptop,thietbiso_phukienso
28688,Bút Trình Chiếu,Phụ kiện máy tính và Laptop,thietbiso_phukienso
1831,Bàn Di Chuột - Miếng Lót Chuột,Phụ kiện máy tính và Laptop,thietbiso_phukienso
28690,Phụ Kiện Phím Chuột Văn Phòng,Phụ kiện máy tính và Laptop,thietbiso_phukienso
1836,Bộ Phím Chuột Văn Phòng,Phụ Kiện Phím Chuột Văn Phòng,thietbiso_phukienso
1829,Chuột Văn Phòng,Phụ Kiện Phím Chuột Văn Phòng,thietbiso_phukienso
1837,Chuột Văn Phòng Có Dây,Chuột Văn Phòng,thietbiso_phukienso
1838,Chuột Văn Phòng Không Dây,Chuột Văn Phòng,thietbiso_phukienso
1830,Bàn Phím Văn Phòng,Phụ Kiện Phím Chuột Văn Phòng,thietbiso_phukienso
5263,Bàn Phím Văn Phòng Có Dây,Bàn Phím Văn Phòng,thietbiso_phukienso
5264,Bàn Phím Văn Phòng Không Dây,Bàn Phím Văn Phòng,thietbiso_phukienso
28694,Phụ Kiện Phím Chuột Văn Phòng Khác,Phụ Kiện Phím Chuột Văn Phòng,thietbiso_phukienso
28692,Phụ Kiện Phím Chuột Chơi Game,Phụ kiện máy tính và Laptop,thietbiso_phukienso
28696,Bộ Phím Chuột Chơi Game,Phụ Kiện Phím Chuột Chơi Game,thietbiso_phukienso
5267,Bàn Phím Chơi Game,Phụ Kiện Phím Chuột Chơi Game,thietbiso_phukienso
3428,Chuột Chơi Game,Phụ Kiện Phím Chuột Chơi Game,thietbiso_phukienso
28698,Phụ Kiện Phím Chuột Chơi Game Khác,Phụ Kiện Phím Chuột Chơi Game,thietbiso_phukienso
28702,Tai Nghe Máy Tính,Phụ kiện máy tính và Laptop,thietbiso_phukienso
28704,Tai Nghe Văn Phòng - Headset,Tai Nghe Máy Tính,thietbiso_phukienso
2971,Tai Nghe Chơi Game,Tai Nghe Máy Tính,thietbiso_phukienso
28706,Công Cụ Đồ Họa - Thiết Bị Cảm Ứng,Phụ kiện máy tính và Laptop,thietbiso_phukienso
12876,Bảng Vẽ Đồ Họa Cảm Ứng,Công Cụ Đồ Họa - Thiết Bị Cảm Ứng,thietbiso_phukienso
28708,Bút Vẽ Đồ Họa Cảm Ứng,Công Cụ Đồ Họa - Thiết Bị Cảm Ứng,thietbiso_phukienso
28714,Thiết Bị Đồ Họa và Công Cụ Khác,Công Cụ Đồ Họa - Thiết Bị Cảm Ứng,thietbiso_phukienso
12296,Các Loại Cáp Chuyển Đổi,Phụ kiện máy tính và Laptop,thietbiso_phukienso
28716,Dây Nguồn,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
28718,Dây Cáp SATA,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
28720,Dây Cáp Thunderbolt,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
28722,Dây Cáp USB,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
28724,Dây Cáp VGA-DVI,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
3804,Cáp HDMI - Displayport,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
28726,Dây Cáp Tín Hiệu Khác,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
28732,Đầu Đọc Thẻ Nhớ,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
8519,Hub USB,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
28734,Hub Chuyển Đổi USB-A,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
4593,Hub Chuyển Đổi USB Type-C,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
28736,Bộ Chuyển Đổi Khác,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
28738,Bộ Chuyển Đổi Tín Hiệu HDMI/VGA/DVI/DP,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
67178,Bộ chuyển đổi HDMI - VGA,Bộ Chuyển Đổi Tín Hiệu HDMI/VGA/DVI/DP,thietbiso_phukienso
28740,Cáp Song Song - Cáp Máy In - Cáp Serial,Các Loại Cáp Chuyển Đổi,thietbiso_phukienso
